narrative,product_5
"On XX/XX/2024 I deposited a cash of amount {$7500.00} to BOFA XXXX ID # XXXX on the following address : XXXX XXXX XXXX XXXX XXXX XXXX, IL XXXX. It was the payment for the kitchen cabinets sold by our kitchen store. The client brought cash because he needed his kitchen asap. At XXXX pm while I was deposited the money, the ATM stopped working. The following error was showing : We're sorry, this ATM is temporary out of service. I have attached a picture of the screen. I immediately checked my bank account and saw that the deposit did not get proceed to my account. I went to the bank and ask the advisor what to do. Unfortunately, they did not help me much, they said that ATM is a third party, and they can not help me. I called to the phone number on the ATM machine to make a claim. The claim advisor said that investigation will take up to 10 days but in next XXXX hours they will credit this money to my bank account until investigation will be resolved. Next day I called to the claim department and the other advisor told me the completely different info. She said that if in 10 days they would not investigate it, they maybe will credit this deposit after 10 days. These money is clients ' money. We're a retail store and I have to order the kitchen for my client the same day. If I would not, he would like to get a refund. This ATM just ate my money, and no one can help me. The claim advisors were rude and completely and unhelpful. This is a big money for my company and this situation can ruin our business. I'm feeling very unsafe to work with BOFA in the future. Please help me to get my money back asap. Thank you",Bank Accounts and Services
"i am unaware of this debt your company is reporting on my consumer report XXXX dint have the opportunity to dispute this information, if in fact you believe your company gave me proper notification please send me the certify request with my name and signature that stated that I have received this communication. 

XXXX XXXX XXXX Reported : XXXX. XXXX, XXXX  - {$1700.00}",Debt Collection
I purchased a used vehicle a XXXX XXXX XXXX from a car mart in XXXX they never really told me the amount of the automobile which was for something around XXXX total the loan would have been XXXX for a XXXX XXXX XXXX car XXXX months later I got into a wreck and totaled the car between my insurance company and the car lot took XXXX months to do anything about the vehicle well the night before the insurance company was scheduled to pick up the car dealership came and picked the totaled car up and has since then resold the vehicle well I got stuck with the whole amount of the loan I received no help from either my insurance company or the car dealership I have since then lost my job and house and Im currently homeless and jobless struggling to just survive and I have no one that is willing to help me truthfully Im not sure Ill be XXXX XXXX XXXX,Loans
"Bank accounts were hacked after my husband died which cause me to have issues with bank on file. Added new bank made pmts through app even after pts were scheduled would get email advising payments still were not made which would cause me to think payments were not processed. Therefore, I would schedule that exact same pmt causing double draft due to company sending false emails and text messages resulting in yet another account being removed. I complained spoke to an agent on or around XX/XX/year> who advised escalation would be issued and the account would be added by management manually would add bank account back before the XXXXXXXX XXXX payment would be due if not complete then I could make the payment on time by contacting the collections dept and use my debt card to complete the pmt. Also asking that sup follow up which never happened. Attempting to pay on due date whas denied advised bank account was not added as I had been told also was denied of making a pmt per collections dept was told that all agents had lied asked for supervisor call again a total of 3 different times never happen. Got a collection call onXXXX seeking payment advised that late fee was added, and I could now make payment which caused the payment to increase causing me financial hardship due to misinformation between call center reps which is harming me after 7 requests for management and asking these calls be reviewed got XXXX help.",Credit Card Services
"Ive consistently ensured timely payments for this account, never letting them become overdue. I'm unsure why there are reports of late payments on my accounts. Based on 15 USC 1666b, billing errors should be corrected.",Credit Card Services
"The company called five times ( XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX ) requesting payment. During each call, I asked for a written document to be mailed to me with details on the service provider, amount, date of service, and the nature of the charges. They assured me that they would provide the requested information. Today 's call was rude and the rep said "" the validation period had expired and they would be unable to get me what I was asking for ''. She said I was responsible and needed to pay.",Debt Collection
"My account has shown "" missing payments '' dates that were in fact pulled from my account. The most recent occurrence of this happened XX/XX/2024. {$200.00} withdrawn from my account via auto debit on XXXX XXXX, but when I log into my mohela account ( new platform ) it says that this payment is missing. It has said this for almost over a month. Despite it saying the payment is missing/overdue, their system also shows that the received the payment in the payment history on their webpage! What is this madness? 

I have called customer service for Mohela and they confirmed they received the payments in both of these cases. They were not sure why it was showing as missed on my account. I asked them to send me a letter certifying that I am not late on payments/ not delinquent and they have not. They just send me standard boilerplate bills showing that I am still missing payment for the date in question.",Loans
"I have been paying on four promotional balances through Care Credit. Each plan carries a unique expiration date. While I have made payments of more than {$2700.00} over the past year, none of my accounts have been reduced by the equivalent credit. Moreover, the company can not explain where my money has been going. I am left on hold until they disconnect the line.",Credit Card Services
"I understand the importance of removing any inaccurate information from my credit report in accordance with FCRA 605B. Could you please review the documents? I've noticed discrepancies in several accounts, which is concerning to me.",Debt Collection
I purchased a mattress on line from Macys. I was offered a promotional deferred interest payment plan. Now that the one year promotion has expired I am being charged 35 % interest ( {$790.00}. over and above the cost of the mattress ) and a late fee every month that the entire promotional balance is not paid in full. During the one year promotional time I made regular payments to my account all of which went to my revolving account and nothing towards the promotional balance. I was unaware that this was happening. It is virtually impossible to view the details of the monthly statement on line. In order to see the monthly statement in full one must call and have the statement snail mailed. I was also unaware that in order to have any of the monthly payments allocated to the promotional balance that I would need to call each month and request that my payment be allocated to the promotional balance. Its all smoke and mirrors and a terrible way to do business. Its literally robbery!!,Credit Card Services
"I understand the significance of eliminating any erroneous accounts from my credit report as outlined in FCRA 605B. I've noticed discrepancies in several listed accounts, which is causing concern.",Debt Collection
"I received a call shortly after XXXX XX/XX/2024 from a gentleman who identified himself as XXXX from Professional Credit Services . He informed me that it was an attempt to collect a debt with all of the proper disclosures including that a recording was being made. He then proceeded to tell me that unless I made payment arrangements immediately that they would proceed to take legal action. I then had to ask what the debt was for and in what amount. The debt is for approximately {$500.00}. When I questioned the cost of such an event, lawyer fees, etc. I was met with more hostility. "" I am not here to discuss the law sir. '' I do recognize this debt and intend to pay it in full. But the person on the phone used threatening tactics and was quite combative.",Debt Collection
"Hello, I wanted to go shopping today ( XX/XX/year> ) as I enjoy buying jewelry for myself. I had reserved and planned to pay for a XXXX in cash {$21000.00} and wanted {$6000.00} extra in case I wanted to buy something as my debit only has a XXXXXXXX XXXX This was not my first time doing this as in my statement Ive been buying jewelry at XXXX XXXX. The request cash I had asked for was {$27000.00}. After this someone in the Citibank fraud department called me saying they were going to close my account and is in need for investigation. As an XXXX XXXX  who only has 1 bank, its pretty terrifying knowing that I cant use it and it has been my main source of payments. This is the first time something like this has happened and I have been a loyal customer for 4 years now. 

If Im being truly honest, I believe the teller profiled me thinking I had a business but I am just an XXXX XXXX residing in NY for education. I dont know why I was flagged for this was told to me by my other international friends that visiting a bank teller would be the easiest way to pay for high price purchases. 

As I visiting a local bank teller in NY, i had requested for cash and shown details about my purchase and had mentioned all remaining money will be sent back into my checkings account. I had decided to want to pay cash at the store as I had thought going to a bank teller would be the easiest way possible to confirm my identity as I brought my passport and ID. 

As I was waiting in the bank, the teller put me on the phone with the fraud department asking where I receive my funds and why I do. I understand that this is protocol but if you check thoroughly in my history, I have been receiving funds from mostly 1-2 people which are my family members sending me allowance here and tuition. 

I have been banking with only citibank since arriving here in the states and it is my one and only source of spending money. 

Looking forward to hearing from you, XXXX, XXXX XXXX",Bank Accounts and Services
"I opened a new high yield online saving account with Synchrony bank in XX/XX/year>. Then I transferred some funds to it from my other bank account. When I tried to transfer $ XXXX to my brokerage account in XX/XX/year>, Synchrony bank froze my funds with no reason. I called customer service XXXX times within XXXX weeks but they were unable to remove restrictions. I can not close this account and transfer out all my money either. There was no explanation or solutions from Synchrony bank. They kept saying its under review and not sure how long it will take. Synchrony bank makes it impossible to access your own money.",Bank Accounts and Services
"I wrote to request that items that are unknown to me be removed. I just learned about this law today. Per FCRA 605B ( 15 U.S.C. 1681c-2 ), you have four business days to remove or prohibit any content or objects. This is something I already mentioned in my prior complaint, and I'm mentioning it here once more. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/year>",Credit Reporting
"Our Costco credit card was closed by Citbank Visa due to 4 payments that bounced. The 4 payment were NOT made by us, and were made fraudulently. We discovered this in the spring of this year, and noted that these 4 payments came from banks that we did nor recognized ( and we held no accounts there ). We explained this multiple times, always pointing out that our routine scheduled payments on the card came from OUR account using AUTO-PAY, and that these 4 fradulent payments were from DIFFERENT accounts. We have never missed a payment or bounced a payments because we use Auto-Pay.

Citibank simply refused to re-open the account despite no wrongdoing on our part. We have explained the situation in many letters and phone calls. As a result of Citi-banks closure of our card, our credit rating fell substantially. Additionally, we lost accrued points which have monetary value > {$400.00}. Finally, we may have been assessed fees for the fradulent deposits, and are uncertain as to those amounts. 

We tried to contact Citbank multiple times ( letters dated XX/XX/year>, XX/XX/year> and XX/XX/year> ), and also spoke to supervisors who understood the case, and yet the decision appears to be made by an entirely separate group of people that you can not speak to, and this is greatly frustrating. Each supervisor who looked at our account said that he/she understood, and would document our findings, which were valid. However, when they submitted on our behalf, we continued to be refused ( with no valid explanation as to what we, as customers, have done wrong ). 

We can not understand why someone would make fradulent payments to our account. But nevertheless, this happened, and it has led to a lot of hardship and stress on us. Thanks for contacting Citibank on our behalf to see if SOMEONE can actually review our case, and explain to us why our account remains closed. ( Why are we being held responsible for what was fradulent activity ).",Credit Card Services
"On XX/XX/2024 I contacted Rent Revovery Solutions in order to settle a debt. After speaking to the employee I was told that in order to settle this debt I would have to pay {$650.00}. I agreed, and this sum of money was taken out of my account that day. I was told to call the employee back on XX/XX/2024 in order to receive a letter and see if the account was reported settled or closed on my credit. Fast forward two weeks, I checked my credit on XX/XX/2024 to see if anything had changed. The only thing that changed was the amount of money owed. The account was not closed which was discussed as the reason and goal for paying this debt. I also have never received a letter of closure or receipt stating that I paid this account. On XX/XX/2024 I called Rent Recovery Solutions back in order to request some answers. I was told that they reported it wrong to the credit bureau as well as told for the 15th time that a letter would be sent but never was. While I was met with rude, nasty, and unhelpful employees. I still attempted to handle this matter as best as possible. However, it has become out of my hands and impossible to move on.",Debt Collection
"I was in foreclosure for some time, my lender would not send the modification papers back in time for sheriff 's sale. The investor had asked me to buy the house from them after sheriff 's sale. But investor wanted me to move out then close our new loan and move back in. It was a ploy to get me out of my house that I put 20 % down when I bought in 2005. The investor had about 100 mortgages with the same bank as mine. There were definitely deceptive practices don'e to me, so the investor could get my home for XXXX on the dollar. I feel like I was ripped off my life and forced to rent now for last 8 yrs. I want to own my home again very soon can anyone help me.",Loans
"I bought a voucher on XXXX for a service, which I will attach here. It clearly states on the voucher that refunds can be provided. When I went online to make an appointment for the service I bought on XXXX, I realized that the service offered was not what was stated on XXXX, and the provider misrepresented themselves. 

I contacted groupon.com for a refund, which they only offered me credits for their site to puchase something else, which I dont want to buy anything else. I should get a refund. 

I tried to dispute this with my bank. I provided evidence that service I bought was NOT as described online. Synchrony bank denied my dispute in favor of groupon. Synchrony stated I "" entered an agreement with the merchant for the charge in question, and they set policies regarding cancellations, refunds and to deal with merchant directly. 

I have contacted merchant directly and they will not refund my money. I also did NOT receive the services I paid for. I can not use the service, because it was a lie that I bought... 

Also, groupon.com sent Synchrony Bank statements that differ from the policies that they have posted online to their website. These policies that are on their website, which state that refunds are indeed available, I sent to Synchrony bank, and was totally ignored. I have seen on XXXX website many people having issues with sites like groupon, and their card issuer will give refunds. Synchrony Bank will not help me in any way with this and will always side with merchants no matter what situation ... that is what this looks like.",Credit Card Services
"To XXXX XXXX XXXX. 
On XX/XX/XXXX my husband purchased a Japanese sword on XXXX for {$560.00}. On XX/XX/XXXX he went back into e-bay to check if sword was mailed and get a tracking number. Nothing was done. He called sender who provided her cell number multiple times and was paid which she shouldn't have, She said she was mailing out package each time he spoke to her. Contacted Truist to get money back.There was no tracking number because she never mailed the item.XXXX was contacted also.Her name is XXXX XXXX XXXX XXXX. Item # and Order number will be provided to XXXX XX/XX/XXXX Truist was contacted regarding return of money because item was never XXXX spoke to XXXX case number XXXX. XXXX. There is also a charge for {$1.00} and {$55.00}. XXXX makes you pay a {$1.00} and will get back and then they charged us {$55.00} to speak to XXXX of their agents.who could not help us with fraud. They just hung up. We were not aware of the charge till the bill came. We are not paying either of those also. A few days later we spoke to XXXX at Truist XXXX case number. We were told that they are working on it. On XX/XX/XXXX we get a letter from Truist that the charge is valid. We called several times and said they are still working on it.They lied to us. We went to bank and that's how we found out it was closed out. Sent info to XXXX FTC and you.We are not paying these charges. We notified them in plenty of time Truist and e-bay. Truist states that if there is a fraud or scam charge on your card it will refund your card within XXXX business days per an oral conversation with Truist Bank.We have done that. We also notified the sheriff dept.",Credit Card Services
"I noticed my account was frozen earlier in the year. I called Marcus.com in late XXXXearly XXXX to unfreeze, the agent said my phone number is not in my name so they cant unfreeze my account, which is not true. XXXX is the only number I have ever used and its always with my name with XXXX. They said they are not able to send a SMS verification code to my phone number. They then offered to mail me a notarized affidavit to fill up which was the only thing they said they can do. They promised it would be delivered 5-10 business days. Its now end of XXXX, its been XXXX, nothing was delivered. Today I called Marcus.com again, a different set of agents went through the same scripts again, told me the same thing that my phone number is not in my name. The agent could not escalate the case, she does not have any direct contact or email address, she can not provide a contact in her back office that can ensure my case is being addressed and resolved, the only thing she can do is to submit a complaint for me and asked for another notarized affidavit, but that needs another XXXX business days to approve it before they even send it out to my address. At this point Im losing my patience, I cant trust them any more. They promised me in XXXX but nothing ever was delivered. I asked about if they have local branch I can visit in person. They said they dont have local branch. They can not expedite notarized affidavit and said because no one uses emails at Marcus. After the call, I went to T-Mobile store and explained the situation, T-Mobile has no idea what this bank means by name on the number. Again, I have had this number for XXXX years without a single issue and this is my only number I ever used. I have all the legal document from passport, XXXX card, social security, etc, anything they need to prove my identity. I need this to be resolved as soon as possible because I need to access the money in the account. Please help!!",Bank Accounts and Services
XX/XX/year> USSA debit my checking account. Twice in one day online only authorized XXXX dollars. I called in speak with credit card company and then transferred to checking department. Then tried put the mint in a non authorized bank ending in XXXX. I called in ask why they not putting the money back in the account they took the money from. I have calling in every day since XX/XX/XXXX th. I get different emails every time.,Bank Accounts and Services
"This is to follow up in regrads of the repeated failure to remove the fraud items from my credit report. Despite my diligent efforts and multiple attempts over the previous instances, these inaccuracies persist, severely impacting my financial standing and opportunities.I request compensation for the significant inconvenience, stress, and potential financial harm caused by the presence of these inaccuracies on my credit report. They have adversely affected my ability to obtain credit, secure loans, and pursue other financial opportunities essential for my financial well-being.I have provided extensive documentation and evidence supporting the removal of these fraud items yet they continue to my credit history. This ongoing issue not only undermines my financial credibility but also hampers my ability to access credit and secure favorable financial terms.The following items should be remove as soon as possible : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Credit Reporting
"I am writing to formally lodge a complaint against Fair Collections & Outsourcing for their continuous violations of my consumer rights under federal law. Despite my efforts to resolve these issues directly with the agency, their actions have persisted, causing undue stress and harm to my financial standing.

Fair Collections & Outsourcing has engaged in practices that violate my rights as a consumer, specifically under 12 CFR 1006.34 ( b ) ( 5 ), 12 CFR 1006.34 ( c ) ( 4 ) ( i ), 12 CFR 1006.34 ( d ), and 15 U.S.C. 1681s-2 ( a ) ( 7 ) ( A ). These regulations mandate that debt collectors must provide clear, accurate, and complete information regarding the debt they are attempting to collect. However, Fair Collections & Outsourcing has failed to comply with these requirements in the following ways : Inadequate Validation of Debt : Fair Collections & Outsourcing has not provided sufficient validation of the debt they claim I owe, despite my requests for such information. This lack of transparency contravenes the requirement to provide clear and accurate information as outlined in 12 CFR 1006.34 ( b ) ( 5 ).

Failure to Disclose Information : According to 12 CFR 1006.34 ( c ) ( 4 ) ( i ), debt collectors are required to disclose certain information about the debt, including the name of the creditor to whom the debt is currently owed. Fair Collections & Outsourcing has failed to provide this essential information, leaving me unable to verify the legitimacy of the debt.

Misleading Representations : Under 12 CFR 1006.34 ( d ), debt collectors must avoid misleading representations in their communications. Fair Collections & Outsourcing has repeatedly sent communications that are misleading and confusing, in violation of this regulation.

Failure to Report Accurate Information : According to 15 U.S.C. 1681s-2 ( a ) ( 7 ) ( A ), furnishers of information to credit reporting agencies must ensure the accuracy and integrity of the information they provide. Fair Collections & Outsourcing has furnished inaccurate and unverified information about the alleged debt to the credit reporting agencies, causing harm to my credit report and financial reputation.

The Fair Debt Collection Practices Act ( FDCPA ) and the specified sections of 12 CFR 1006.34 and 15 U.S.C. 1681s-2 are designed to protect consumers from such abusive practices. Fair Collections & Outsourcing 's actions are in clear violation of these protections, and I urge the Consumer Financial Protection Bureau to take immediate action to address these violations.

I request that the CFPB investigate Fair Collections & Outsourcings practices and ensure they comply with all relevant laws and regulations. Additionally, I ask that any erroneous and unverified information related to this debt be removed from my credit report and that Fair Collections & Outsourcing ceases all further communication with me until they can provide full and accurate validation of the debt.

Enclosed with this letter are copies of all relevant communications with Fair Collections & Outsourcing, including their misleading and harassing messages.

Thank you for your prompt attention to this serious matter. I look forward to your response and a resolution that upholds my rights as a consumer.",Debt Collection
"Upon reviewing my credit report, I have identified inaccurate accounts that need reporting and correction through your company.",Debt Collection
"On the weekend of XXXX XXXX XXXX I over paid my credit card. I paid off the balance twice on accident. I now have a large credit, but they will not let me access it with the credit card, they blocked it. They also tell me a check refund is more than 20 days away. They will not issue me a new card, or tell me why my card is blocked. I was willing to use the overpayment on bills, but the card is blocked. The customer service agent says they are going to send a refund in the mail because they wont take the hold off the card. I didnt want that, but they could barely speak XXXX and must have misunderstood me, or decided my wishes didnt matter.",Credit Card Services
"I am XXXX XXXX, and Im submitting this complaint myself and there is no third party involved. I attached letters to let you know more in detail about what they are reporting in my credit report. They reported inaccurate information in my credit report with inconsistent and untimely dates reported across the three Bureaus, Transunion, XXXX, and XXXX.",Credit Reporting
"I am filing a complaint to inform you that you may be in violation of the Fair Credit Reporting Act ( FCRA ) Section 621 ( a ) ( 3 ) ( A ). According to the FCRA, credit bureaus are required to respond to disputes within 30 days of receiving them. My dispute regarding NEGATIVE ACCOUNTS was submitted on XX/XX/year>, and I have not yet received a response.",Credit Reporting
I was first contacted in XXXX regarding the debt. I told them that it did not sound correct amount wise. They would call me several times a week. The collector was very rude when I would try talking to him. I asked for the account number 3 times before he ever gave it to me. Even hung up on me once. I sent 2 different letters regarding settling on the account and received nothing back and no call. The last attempted call i got was on XXXX. However this collection agency keeps submitting to credit reporting companies regarding the account without any attempts to contact me. The debt was never verified. I never got any letter. No one has spoke to me in months or attempted to. This collection agency is not even in my state or region. Not even remotely close.,Debt Collection
"On XX/XX/XXXX, I opened a new account with Citi bank. I was informed that I needed to fund the account within 90 days. To do so, I initiated XXXX XXXX transfers from my XXXX XXXX  account, totaling {$480.00}. These funds appeared in my available balance at Citi. 

Additionally, I set up XXXX XXXX transfers from my XXXX XXXX account, each for {$700.00}, to further fund the Citi account. These XXXX transfers were placed on hold and scheduled for release on XX/XX/XXXX and XX/XX/XXXX, respectively. The held funds were not added to my available balance. 

On the morning of Wednesday, XX/XX/XXXX, I discovered that my available balance of {$480.00} had been completely removed, causing my account to overdraft. This happened again on Thursday, XX/XX/XXXX, as more money was taken from my account. 

Citi representatives informed me that the {$700.00} XXXX transfers were reversed, but this should not have affected my available balance, as those funds were on hold and pending. The reversal of the XXXX transfers should not have impacted the {$480.00} that was already available in my account. 

Despite multiple attempts to seek clarification and resolution from Citi, I have not received a satisfactory explanation for why my available balance was affected by the pending ACH transfers. This situation has left me without access to my funds and has caused significant stress and frustration.",Bank Accounts and Services
"My Parent XXXX XXXX for XXXX kid 's college education is now serviced by MOHELA. 
I keep getting statements in the mail ( recent one dated XXXX ) regarding XXXX of the XXXX loans and showing an amount due. ( XXXX ) It shows no previous payments made. 

I have called every other month or so for a year to tell them I am paying on all XXXX loans ( {$770.00} per month ), for the most part we paid even during the halt on payments from the government during XXXX. The person on the phone said they show I am repaying all XXXX loans, and the mailed statements are incorrect. 
I am VERY XXXX that this is not accurate information, and I am uncomfortable with the prospect of potential negative impact to my credit. I do not understand why they are separating some loans out, and afraid they are adding charges as a result. 
I need clarification on the repayment status of my loans and for them to stop sending incorrect statements to me in the mail!",Loans
"Best Buy notified me today stating that there was a letter due XX/XX/XXXX. There was no letter there. An old letter there from XX/XX/XXXX to XXXX. Also XXXX and XX/XX/XXXX I paid {$50.00} by the time XX/XX/XXXX Best Buy were demanding {$600.00} from me with a {$3300.00} payment that I owe. Where did that come from? I see no statements for XXXX or XXXX, which is very suspicious. When I look on their website, there is no payment for {$3300.00} Thats suspicious. My email does not reflect a thank you confirmation for the payment. Only XXXX then it skips to XXXX confirmed payment. Thats is suspicious. No activities around those dates of XXXX and XX/XX/XXXX. I need an investigation on this.",Credit Card Services
"I understand the significance of eliminating any erroneous accounts from my credit report as outlined in FCRA XXXX. I've noticed discrepancies in several listed accounts, which is causing concern.",Debt Collection
"Mortgage payments - I was under the impression that if you pay half your monthly mortgage payment early you could pay the loan off sooner.. When I recently set up automatic withdrawals I set up XXXX payment on the XXXX and XXXX payment on the XXXX for the foloowing months mortgage payment. I recently recieved a letter from the bank stating they would not apply my funds to the mortgage until they had the full ammount, on the XXXX. Is this normal? Has the process changed? 

Please advise. 

XXXX XXXX",Loans
"Ally Bank had closed my account and I contacted Ally Bank on XX/XX/year> and it was confirmed that my account was closed and the remaining balance of {$1200.00} in my account was sent to me via check. I have not received the check for my balance and today I called Ally to ask when the check was sent out and Ally told me that my balance is isolated and to contact the person that wrote me the checks and that there is nothing further for me to deal with regarding Ally. This makes no sense, the person who issued me the checks confirmed that the checks have cleared so they dont even have the money anymore. The money is in my Ally account balance which I was told would be sent out or had already been sent to me via check. I just want my money. I dont know what sort of games Ally is playing by not sending me my money from my account balance and referring me to the person who wrote me the checks, whom dont even have the money anymore.",Bank Accounts and Services
"I insist on the removal of this late payment from my account as it does not faithfully depict my payment history. I have consistently made timely payments, and it is unjust to be marked with this inaccurate entry. I urge you to promptly update my account.",Credit Reporting
"I'm deeply troubled by the inclusion of this late payment on my account, as my payment record has consistently shown punctuality. This matter is causing me significant distress, and I urge you to rectify this error by promptly removing it from my account.",Credit Card Services
"XXXX accounts are showing up on my credit reports that are not mine. The address and phone number associated with them are also not mine. I have never lived at the address or in the state. Nor have I ever shopped at XXXX XXXX XXXX or XXXX XXXX. 

TDRCS/XXXX. Opened XX/XX/year> {$5900.00} it has been charged off but is affecting my credit. Company is disputing also- File # XXXX XXXX XXXX. Also opened XX/XX/year> {$8000.00} it has also been charged off but is affecting my credit. Havent been able to get ahold of company.",Debt Collection
I was asked to leave because I had a boyfriend who caused problems I was being abused and was in fear for my life I did what i was asked to do I put in my notice to vacate I was packing and my now ex came into my apartment and dragged me into his car I was held hostage by him for almost XXXX months he was caught and arrested on unrelated charges I was so traumatized I refused to relive my abuse and since he was already going away for a long time my doctor suggested I just move on. When I called the apartment complex they were very hateful and refused to give me the property management information so I could explain my situation and maybe come up with a payment plan even though I was charge way over the amount of any damage that was done they charged me for cleaning carpets that were covered with my huge area rug they also charged me for painting when there was no reason to paint I keep a very clean home. I left a couch and table and was charged hundreds of dollars to remove it. I then started receiving calls from the property management company multiple times a day and asked them to stop calling I was hiring a lawyer they are no longer in business but i still have this debt.,Debt Collection
"Under 15 USC 1681i ( a ) ( 1 ) ( A ) subject to subsection ( f ) and except as provided in subsection ( g ), If the completeness or accuracy of any item of information contained in a consumer 's file at a consumer reporting agency is disputed by the consumer and the consumer notifies the agency directly or indirectly through a reseller, of such dispute, the agency shall, free of charge, conduct a reasonable reinvestigation to determine whether the disputed information is inaccurate and record the current status of the disputed information, or delete the item from the file in accordance with paragraph ( 5 ), before the end of the 30-day period beginning on the date on which the agency receives the notice of the dispute from the consumer or reseller. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Credit Reporting
"FCRA 605B, I think, mandates the removal of any inaccurate accounts from my credit report. Would you mind checking the documents? Some of the listed accounts have inaccuracies in reporting, with incorrect amounts and dates.",Credit Card Services
"I had a few issues with my account ( kept getting hacked and unauthorized funds withdrawn from account, ones i didnt authorize ). they asked me to show proof, which i e mailed them like they asked me to. they never responded and actually closed my account without telling me until 4 hours after they closed my account, which my direct deposit was supposed to go to my account that evening. I had to wait almost 2 weeks for my check to deposit into a new account because they sent it back to my employer. i had to borrow money to make it that week and a half. then they told me it was due to security issues is why they closed my account. and they reversed all the credits they gave me for the unauthorized transactions ( they charged me for them ) and kept checking account open so those charges could come back thru, but wouldnt allow me to withdraw or deposit any money in the account. when I filed a complaint with the BBB they called me back with a case number, however when i called them back multiple times, they never called me back, kept getting their voicemail. they supposedly reported to the XXXX  that they couldnt ever get ahold of me and no resolution was reached which is hogwash!!! i repeatedly called them and asked for them to call me back or leave a voicemail. This is very unprofessional of them and rude.",Bank Accounts and Services
"In XXXXXXXX XXXX  my dog became ill and I phoned my regular XXXX but could not be seen and they referred me to another XXXX XXXX XXXX, XXXX XXXX. I took my pet to that XXXX  and was told they needed to keep her a few hours to assess the problem. A few hours later they called and said my dog needed some antibiotic. Several hours later I called to see when she could be picked up and we picked her up along with a bill of over {$2100.00}, and those charges were not authorized. I called my regular XXXX  the next day because my pet was not any better. I took her over to my XXXX XXXX XXXX XXXX and discussed the other XXXX  's bill. After my pet remained for the day at my XXXX and picked her up along with a bill for around {$620.00} for services rendered which were almost identical from XXXXXXXX XXXX 

On the XXXX day my pet was worst and took her back to XXXX XXXX XXXX and about XXXX XXXX  my XXXX and I discussed the best avenue was to let her go which we did. 

After receiving final billings from XXXX XXXX XXXX and called them and asked about the overcharges from XXXXXXXX XXXX They said they were notorious for overcharging their clients and I should contact my credit card company, CARE and dispute the charges from XXXX XXXX and CARE gave me a credit of {$750.00}. About 5 months later that credit was reversed and charged back to my account. 

I spoke with XXXX XXXX and said I refused the overcharges of approximately {$1400.00} of a {$2100.00}. bill. 

I have been paying my bill each and every month and the current balance is {$1100.00}. As far as I am concerned CARE should refund this balance and chargeback XXXXXXXX XXXX 

Summary : I did not authorize the {$2100.00} charges. They are not an emergency clinic-nothing on their website to say they are. 

As my previous dispute with Citi Bank filed with XXXX, my credit balance CARE was reduced.reduced.",Credit Card Services
"Upon checking my credit report I noticed some UNAUTHORIZED HARD INQUIRIES.Equifax and other credit reporting agencies are obligated by the FCRA to report accurate accounting. I the consumer have advised ALL the inquiries reported was fraud, said company had 4 days according to LAW to remove such items. FTC fraud report was filed on behalf of consumer. Consumer is now requesting XXXX to provide the documentation used to determine inquiry was authorized by the consumer. XXXX has 15 days to provide me with the name of the person spoken to, documentation used, signed application with consumer wet ink signature. Consumer is NOT asking for e-oscar report. If XXXX does not have documentation to show these were in fact authorized it must be removed ASAP. SAID company is liable under SEC to follow certain rules. XXXX XXXX file number is XXXX. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. I will be filling XXXX treasury omb forms to audit my consumers account. XXXX is securitizing consumers data yet refuse to provide consumer a copy of their CONSUMER FILE NOT CONSUMER REPORT. Please remove items listed below. 15 USC 1581 PERMISSABLE PURPOSES.",Credit Reporting
"I have consistently maintained on-time payments, so I find it perplexing to discover an error in my credit report. I am seeking precise and updated records that accurately reflect my timely payments for those accounts.",Credit Reporting
